================ Training Loss (Sat Jun 20 21:34:55 2026) ================
[Rank 0] (epoch: 27, iters: 200, time: 0.004, data: 0.174) , G_GAN: 0.772, G_L1: 7.268, D_real: 0.078, D_fake: 0.236

[Rank 0] (epoch: 27, iters: 400, time: 0.016, data: 0.004) , G_GAN: 0.270, G_L1: 7.916, D_real: 0.264, D_fake: 0.067

[Rank 0] (epoch: 27, iters: 600, time: 0.004, data: 0.004) , G_GAN: 0.643, G_L1: 6.854, D_real: 0.145, D_fake: 0.209

[Rank 0] (epoch: 27, iters: 800, time: 0.004, data: 0.004) , G_GAN: 0.385, G_L1: 5.863, D_real: 0.066, D_fake: 0.347

[Rank 0] (epoch: 27, iters: 1000, time: 0.004, data: 0.004) , G_GAN: 0.417, G_L1: 8.332, D_real: 0.427, D_fake: 0.056

[Rank 0] (epoch: 28, iters: 200, time: 0.516, data: 0.185) , G_GAN: 0.567, G_L1: 7.228, D_real: 0.044, D_fake: 0.410

[Rank 0] (epoch: 28, iters: 400, time: 0.004, data: 0.004) , G_GAN: 0.352, G_L1: 6.517, D_real: 0.290, D_fake: 0.246

[Rank 0] (epoch: 28, iters: 600, time: 0.004, data: 0.004) , G_GAN: 0.395, G_L1: 6.955, D_real: 0.235, D_fake: 0.121

[Rank 0] (epoch: 28, iters: 800, time: 0.004, data: 0.004) , G_GAN: 0.329, G_L1: 6.960, D_real: 0.031, D_fake: 0.531

[Rank 0] (epoch: 28, iters: 1000, time: 0.018, data: 0.003) , G_GAN: 0.371, G_L1: 6.573, D_real: 0.159, D_fake: 0.545

[Rank 0] (epoch: 29, iters: 200, time: 0.004, data: 0.188) , G_GAN: 0.530, G_L1: 6.969, D_real: 0.160, D_fake: 0.065

[Rank 0] (epoch: 29, iters: 400, time: 0.022, data: 0.004) , G_GAN: 0.368, G_L1: 7.017, D_real: 0.320, D_fake: 0.086

[Rank 0] (epoch: 29, iters: 600, time: 0.004, data: 0.003) , G_GAN: 0.526, G_L1: 7.312, D_real: 0.141, D_fake: 0.168

[Rank 0] (epoch: 29, iters: 800, time: 0.004, data: 0.004) , G_GAN: 0.626, G_L1: 6.524, D_real: 0.088, D_fake: 0.280

[Rank 0] (epoch: 29, iters: 1000, time: 0.004, data: 0.004) , G_GAN: 0.524, G_L1: 7.086, D_real: 0.094, D_fake: 0.123

[Rank 0] (epoch: 30, iters: 200, time: 0.016, data: 0.170) , G_GAN: 0.582, G_L1: 9.481, D_real: 0.287, D_fake: 0.086

[Rank 0] (epoch: 30, iters: 400, time: 0.004, data: 0.004) , G_GAN: 0.405, G_L1: 6.499, D_real: 0.177, D_fake: 0.103

[Rank 0] (epoch: 30, iters: 600, time: 0.004, data: 0.004) , G_GAN: 0.373, G_L1: 5.589, D_real: 0.367, D_fake: 0.088

[Rank 0] (epoch: 30, iters: 800, time: 0.003, data: 0.004) , G_GAN: 0.199, G_L1: 5.343, D_real: 0.315, D_fake: 0.249

[Rank 0] (epoch: 30, iters: 1000, time: 0.021, data: 0.004) , G_GAN: 0.269, G_L1: 7.379, D_real: 0.377, D_fake: 0.101

[Rank 0] (epoch: 31, iters: 200, time: 0.004, data: 0.177) , G_GAN: 0.456, G_L1: 6.584, D_real: 0.144, D_fake: 0.165

[Rank 0] (epoch: 31, iters: 400, time: 0.019, data: 0.003) , G_GAN: 0.427, G_L1: 6.186, D_real: 0.138, D_fake: 0.185

[Rank 0] (epoch: 31, iters: 600, time: 0.004, data: 0.004) , G_GAN: 0.237, G_L1: 6.517, D_real: 0.293, D_fake: 0.186

