================ Training Loss (Sun Jun 21 14:58:58 2026) ================
[Rank 0] (epoch: 20, iters: 600, time: 0.003, data: 0.004) , G_GAN: 0.679, G_L1: 2.503, D_real: 0.686, D_fake: 0.793

[Rank 0] (epoch: 20, iters: 800, time: 0.003, data: 0.003) , G_GAN: 1.026, G_L1: 2.967, D_real: 0.440, D_fake: 0.577

[Rank 0] (epoch: 20, iters: 1000, time: 0.016, data: 0.001) , G_GAN: 0.905, G_L1: 4.569, D_real: 0.338, D_fake: 0.747

[Rank 0] (epoch: 21, iters: 200, time: 0.003, data: 0.480) , G_GAN: 0.778, G_L1: 2.995, D_real: 0.543, D_fake: 0.652

[Rank 0] (epoch: 21, iters: 400, time: 0.017, data: 0.003) , G_GAN: 0.778, G_L1: 2.161, D_real: 0.712, D_fake: 0.691

[Rank 0] (epoch: 21, iters: 600, time: 0.004, data: 0.002) , G_GAN: 0.870, G_L1: 2.238, D_real: 0.563, D_fake: 0.638

[Rank 0] (epoch: 21, iters: 800, time: 0.003, data: 0.003) , G_GAN: 0.954, G_L1: 2.159, D_real: 0.625, D_fake: 0.544

[Rank 0] (epoch: 21, iters: 1000, time: 0.004, data: 0.003) , G_GAN: 0.562, G_L1: 2.705, D_real: 1.143, D_fake: 0.757

[Rank 0] (epoch: 22, iters: 200, time: 0.016, data: 0.430) , G_GAN: 0.734, G_L1: 2.583, D_real: 0.582, D_fake: 0.729

[Rank 0] (epoch: 22, iters: 400, time: 0.004, data: 0.001) , G_GAN: 1.070, G_L1: 2.874, D_real: 0.338, D_fake: 0.545

[Rank 0] (epoch: 22, iters: 600, time: 0.004, data: 0.003) , G_GAN: 0.694, G_L1: 2.872, D_real: 1.125, D_fake: 0.555

[Rank 0] (epoch: 22, iters: 800, time: 0.004, data: 0.003) , G_GAN: 1.152, G_L1: 3.350, D_real: 0.377, D_fake: 0.657

[Rank 0] (epoch: 22, iters: 1000, time: 0.015, data: 0.003) , G_GAN: 0.786, G_L1: 2.942, D_real: 0.840, D_fake: 0.542

[Rank 0] (epoch: 23, iters: 200, time: 0.003, data: 0.447) , G_GAN: 0.998, G_L1: 2.941, D_real: 0.819, D_fake: 0.493

[Rank 0] (epoch: 23, iters: 400, time: 0.017, data: 0.014) , G_GAN: 0.791, G_L1: 3.168, D_real: 1.767, D_fake: 0.528

[Rank 0] (epoch: 23, iters: 600, time: 0.003, data: 0.001) , G_GAN: 1.005, G_L1: 2.822, D_real: 0.251, D_fake: 0.657

[Rank 0] (epoch: 23, iters: 800, time: 0.004, data: 0.003) , G_GAN: 1.206, G_L1: 3.115, D_real: 0.245, D_fake: 0.560

[Rank 0] (epoch: 23, iters: 1000, time: 0.004, data: 0.003) , G_GAN: 0.866, G_L1: 2.436, D_real: 0.517, D_fake: 0.610

[Rank 0] (epoch: 24, iters: 200, time: 0.015, data: 0.446) , G_GAN: 0.919, G_L1: 2.428, D_real: 0.727, D_fake: 0.571

